0|Qual cidade da quarta colonia tem uma igreja com torre circular?|Silveira Martins|Arroio Grande|Agudo|0
1|Em que ano foi fundaddo o jardim botanico?|1987|1992|1981|2
2|Qual cidade nao faz parte da quarta colania?|Polesine|Santa Cruz|Ivora|1
3|Qual cidade e o berco da quarta colonia?|Nova Palma|Restinga Seca|Silveira Martins|2
4|Qual o artista responsavel pelo Jardim das Esculturas?|Antonio Meneghetti|Rogerio Vertoldo|Julio Witeck|1
5|Onde fica localizado o Sitio de Buriol?|Polesine|Ivora|Santa Maria|0
6|Onde fica localizado o Sitio Marchesan?|Dona Francisca|Santa Maria|Polesina|0
7|Onde fica localizado o Sitio Aserma?|Polesine|Dona Franscisca|Agudo|2
8|O Wachholz e um...|bicho preguica|Dinossauro|Marsupial|1
9|Qual nao e um processo paleontologico?|Coleta|Identificacao|Preempcao|2
10|Quantos processos paleontologicos existem de acordo com o CAPPA?|7|5|3|1
11|Quando surgiram os primeiros imigrantes?|1853|1868|1877|2
12|O monumento do imigrante fica situado em que cidade?|Caxias do Sul|Garibaldi|Silveira Martins|2
